1,2,3,4,5,6,7,8
0.647,0.71,0.017,0.102,0.005,0.861,0.049,1
0.107,34.866,0.13,0.086,0.007,0.798,0.085,1
0.736,0.328,0.022,0.014,0.001,0.973,0.061,1
0.819,0.821,0.044,0.194,0.027,0.706,0.138,1
0.832,0.719,0.078,0.365,0.05,0.479,0.137,1
0.819,0.259,0.036,0.035,0.006,0.879,0.177,1
0.47,0.264,0.063,0.598,0.059,0.315,0.099,1
0.543,0.897,0.061,0.013,0.005,0.947,0.364,1
0.832,0.842,0.07,0.178,0.023,0.709,0.129,1
0.458,0.093,0.07,0.066,0.027,0.675,0.411,1
0.833,0.851,0.078,0.208,0.027,0.68,0.13,1
0.878,0.905,0.04,0.053,0.006,0.892,0.111,1
0.582,0.745,0.037,0.003,0.001,0.98,0.401,1
0.673,0.946,0.226,0.287,0.033,0.826,0.114,1
0.629,0.77,0.084,0.019,0.006,0.933,0.303,1
0.85,0.529,0.052,0.081,0.011,0.875,0.136,1
0.846,0.664,0.045,0.106,0.011,0.829,0.101,1
0.662,0.595,0.064,0.154,0.047,0.501,0.303,1
0.734,0.773,0.099,0.289,0.042,0.591,0.144,1
0.593,1.132,0.09,0.103,0.039,0.611,0.376,1
0.84,0.983,0.013,0.031,0.003,0.93,0.091,1
0.683,0.552,0.017,-0.171,-0.049,1.263,0.285,1
0.208,0.534,0.066,0.028,0.018,0.906,0.645,1
0.534,0.719,0.082,0.007,0.003,0.97,0.407,1
0.839,0.477,0.079,0.381,0.046,0.59,0.121,1
0.568,1.003,0.298,0.408,0.048,0.752,0.118,1
0.718,0.516,0.025,-0.058,-0.014,1.159,0.238,1
0.701,0.506,0.037,0.004,0.001,0.994,0.259,1
0.668,0.396,0.068,-0.064,-0.021,1.217,0.326,1
0.81,0.821,0.072,0.336,0.046,0.434,0.138,1
0.502,0.659,0.012,0.007,0.004,0.98,0.49,-1
0.637,0.881,0.067,0.138,0.046,0.601,0.335,1
0.709,0.334,-0.02,0.0,0.0,0.964,0.13,-1
0.609,0.339,0.113,0.033,0.009,0.942,0.257,1
0.818,0.793,0.064,0.097,0.017,0.839,0.171,1
0.772,0.566,0.049,0.022,0.004,0.968,0.185,1
0.801,0.679,0.069,0.313,0.027,0.816,0.085,1
0.668,1.15,0.085,0.076,0.025,0.706,0.329,1
0.769,0.695,0.075,0.048,0.01,0.898,0.209,1
0.65,0.493,0.025,0.219,0.027,0.773,0.124,1
0.724,0.661,0.057,0.194,0.018,0.792,0.094,1
0.87,0.375,0.027,0.157,0.01,0.749,0.065,1
0.74,0.573,0.077,0.133,0.02,0.784,0.148,1
0.565,0.443,0.054,0.062,0.012,0.982,0.196,1
0.786,0.324,0.057,0.17,0.032,0.55,0.187,1
0.646,1.108,0.074,0.166,0.051,0.282,0.31,1
0.753,0.719,0.081,0.326,0.051,0.442,0.158,1
0.895,0.198,0.061,0.681,0.07,0.086,0.103,1
0.82,1.102,0.054,0.177,0.029,0.455,0.162,1
0.328,1.583,0.102,0.033,0.005,0.918,0.14,1
0.897,0.754,0.061,0.186,0.015,0.815,0.08,1
0.15,2.127,0.064,0.016,0.013,0.926,0.795,1
0.193,0.0,0.098,-0.023,-0.018,1.189,0.798,1
0.767,0.783,0.038,0.043,0.006,0.947,0.132,1
0.611,0.818,0.12,0.341,0.042,0.848,0.123,1
0.843,0.476,0.038,0.193,0.025,0.792,0.132,1
0.676,0.662,0.057,0.15,0.043,0.345,0.283,1
0.736,1.683,0.068,0.066,0.017,0.758,0.254,1
0.76,0.535,0.047,0.024,0.004,0.966,0.183,1
0.724,0.757,0.068,0.072,0.02,0.756,0.271,1
0.875,0.481,0.038,0.186,0.016,0.86,0.084,1
0.686,1.229,0.089,0.077,0.023,0.796,0.298,1
0.662,0.716,0.051,0.141,0.015,0.798,0.107,1
0.885,0.347,0.047,0.119,0.011,0.905,0.089,1
0.426,1.525,0.096,0.03,0.016,0.932,0.545,1
0.383,1.681,0.135,0.155,0.066,0.646,0.426,1
0.865,0.204,0.049,0.121,0.016,0.646,0.135,1
0.693,0.355,0.067,0.115,0.035,0.466,0.307,1
0.889,0.425,0.021,0.086,0.009,0.862,0.109,1
0.115,1.567,0.149,-0.087,-0.076,1.397,0.879,1
0.658,0.261,0.079,0.031,0.01,0.888,0.317,1
0.311,0.0,0.11,0.056,0.039,0.613,0.689,1
0.132,6.52,0.204,0.032,0.022,0.852,0.677,1
0.801,0.309,0.075,0.025,0.004,0.965,0.16,1
0.609,0.362,0.022,0.486,0.176,0.534,0.363,1
