1,2,3,4,5,6,7,8,9,10,11,12,13
0.049,1.1030955256299808,0.005,0.102,87.44,94.24,119.56,90.58,141.83,87.96,47.33,0.03577432008192829,1
0.085,0.23101441305921555,0.007,0.086,71.98,1.96,-11.08,-6.98,33.34,217.28,249.57,0.0528206758144291,1
0.061,1.18341815379834,0.001,0.014,108.04,131.27,194.49,201.76,319.62,145.01,57.36,0.02890334978885116,1
0.138,7.808039045982542,0.027,0.194,161.78,171.78,53.66,69.97,101.25,113.35,0.0,0.10825802203443878,1
0.137,5.995594151433168,0.05,0.365,113.74,114.54,82.06,83.35,94.7,102.52,23.98,0.06959742046567009,1
0.177,2.0302810558415603,0.006,0.035,198.11,247.22,22.67,43.31,28.51,105.64,42.28,0.15787299237777272,1
0.099,0.37253668332897827,0.059,0.598,105.1,102.86,265.9,161.25,121.78,114.6,76.38,0.01754406622402579,1
0.364,1.8976598630002186,0.005,0.013,103.37,101.47,420.45,426.42,134.55,90.11,0.0,0.2801751775242537,1
0.129,6.707628774473746,0.023,0.178,106.29,106.38,100.39,88.89,113.28,140.99,86.14,0.06382594077829645,1
0.411,0.2462579423373386,0.027,0.066,112.39,175.59,55.52,58.81,163.12,101.12,66.21,0.3094231186926825,1
0.13,5.523142088697959,0.027,0.208,113.67,117.08,90.97,81.92,110.45,101.36,67.8,0.08639538647749995,1
0.111,8.32827887826631,0.006,0.053,131.58,126.2,-34.83,-30.86,94.08,99.22,0.0,0.07588626110837571,1
0.401,1.601305844250386,0.001,0.003,88.84,82.38,-31.17,-27.59,134.61,89.06,0.0,0.37880354268098365,1
0.114,2.5009438498297456,0.033,0.287,148.9,140.7,29.09,47.99,85.48,85.71,612626.31,0.06563883811293711,1
0.303,2.0278491033645016,0.006,0.019,76.98,68.22,154.01,116.79,99.04,90.56,1860.73,0.19997386341145995,1
0.136,5.8779520451621305,0.011,0.081,109.02,111.02,274.42,267.84,106.88,105.2,0.0,0.09545671654197456,1
0.101,4.935883444884408,0.011,0.106,105.18,112.85,102.03,95.03,162.44,104.77,62.77,0.07169421369602505,1
0.303,3.340340767012008,0.047,0.154,108.35,108.09,120.89,117.58,89.48,107.13,0.0,0.16641404801186416,1
0.144,3.0478056411444596,0.042,0.289,106.48,105.52,120.91,90.3,130.52,106.36,125.74,0.07268672694396097,1
0.376,2.209799792161698,0.039,0.103,102.25,100.18,83.75,81.06,108.33,109.46,0.0,0.3082477482487379,1
0.091,6.554311644266535,0.003,0.031,95.73,91.51,80.66,83.89,54.43,82.34,89.94,0.0677271792916089,1
0.285,3.032340950477174,-0.049,-0.171,106.52,100.8,325.96,458.01,65.4,96.39,0.0,0.228023596504413,1
0.645,0.5373037035665944,0.018,0.028,93.24,72.28,215.97,219.19,98.31,108.59,132.03,0.5500176639020823,1
0.407,1.4801818979690105,0.003,0.007,115.72,125.15,5.32,6.17,105.27,128.05,0.0,0.38035189346244164,1
0.121,4.533012924800846,0.046,0.381,99.16,110.42,97.91,96.29,114.44,100.55,0.0,0.06551036214561602,1
0.118,1.584378459141319,0.048,0.408,137.66,127.6,81.68,87.15,110.57,75.16,590.6,0.05906637357786181,1
0.238,3.9185248302495106,-0.014,-0.058,97.25,100.28,-267.96,-273.24,97.23,111.46,0.0,0.15447565774061459,1
0.259,3.1887879983434515,0.001,0.004,123.48,130.71,7.42,8.19,93.81,110.69,395.1,0.1831842932377635,1
0.326,1.4615942053341862,-0.021,-0.064,127.02,153.75,69.62,93.51,62.04,99.8,58.04,0.25609812969246354,1
0.138,5.380036222253944,0.046,0.336,106.02,106.64,111.56,96.38,181.75,95.57,108.14,0.08457247102577233,1
0.49,4.268375447184228,0.004,0.007,89.87,100.86,85.18,71.31,102.94,100.95,0.0,0.20650265034073495,-1
0.335,2.591375023394474,0.046,0.138,114.47,114.77,125.09,121.88,182.34,83.9,0.0,0.21782537965857016,1
0.13,3.1214939252638865,0.0,0.0,99.16,97.45,0.13,0.13,13.13,133.78,149.42,0.0806263822231204,1
0.257,0.8598967043730895,0.009,0.033,99.77,99.84,-82.42,-79.49,104.79,114.0,0.0,0.2019514731872109,1
0.171,5.165880774280017,0.017,0.097,131.25,135.85,164.41,196.02,230.91,108.65,0.0,0.13678923674156784,1
0.185,4.057164714928742,0.004,0.022,127.1,132.18,992.75,1230.99,127.77,97.33,30.82,0.1490252356681307,1
0.085,3.4847211581448234,0.027,0.313,191.88,206.64,306.35,302.88,110.56,118.48,244644.75,0.05524858938123824,1
0.329,3.04479492902437,0.025,0.076,120.15,126.08,100.76,111.82,190.76,98.53,0.0,0.2816969626854575,1
0.209,2.5478422967804604,0.01,0.048,109.34,116.46,54.75,56.92,102.67,90.3,77.09,0.19287787004230833,1
0.124,1.8912400710324795,0.027,0.219,87.56,81.69,-154.63,-100.3,333.87,109.65,103.58,0.08847580491552272,1
0.094,2.4446315841997883,0.018,0.194,126.19,113.37,100.2,76.96,196.62,112.43,123.18,0.0678556051961977,1
0.065,3.282568034950728,0.01,0.157,138.1,158.71,122.81,117.9,221.31,140.98,26.88,0.055067741071970155,1
0.148,2.531855598863783,0.02,0.133,124.58,125.02,179.51,194.78,122.32,89.37,0.0,0.10252051879368057,1
0.196,1.5532311858324492,0.012,0.062,103.39,111.14,17.79,17.29,155.3,116.81,0.0,0.15954396701551976,1
0.187,1.7629136483813235,0.032,0.17,133.25,134.67,75.46,83.49,126.75,114.75,0.0,0.15222278483928747,1
0.31,2.124631133382421,0.051,0.166,118.79,125.0,116.97,132.49,293.13,84.88,130.04,0.12900549538384182,1
0.158,3.1451901158630955,0.051,0.326,127.77,133.48,100.56,86.85,105.88,100.3,112237.02,0.10063203411327251,1
0.103,3.3854741557927044,0.07,0.681,127.34,125.48,122.96,110.85,4.41,102.0,310.4,0.029425292545314997,1
0.162,4.868427895089973,0.029,0.177,113.11,120.78,92.91,79.56,92.56,101.44,154.63,0.13329120090620203,1
0.14,0.3733058428582634,0.005,0.033,87.89,84.48,-4.06,-2.04,111.42,126.28,92.46,0.13010804722601532,1
0.08,8.76553634717935,0.015,0.186,114.41,128.22,120.5,109.94,104.91,101.63,14.4,0.05809706562072043,1
0.795,0.9093351639840679,0.013,0.016,87.55,54.27,284.09,248.97,73.41,85.52,0.0,0.7646817949364054,1
0.798,0.3344850165785732,-0.018,-0.023,104.63,1480.87,-51.7,-55.32,95.33,103.42,0.0,0.7765630843894166,1
0.132,4.708040227337272,0.006,0.043,92.64,87.69,255.65,229.57,94.35,130.22,0.0,0.12301509466607503,1
0.123,1.8865461827284993,0.042,0.341,119.31,118.18,-63.24,-49.71,96.99,91.83,144211.15,0.0807283371229539,1
0.132,8.434069012703628,0.025,0.193,194.44,234.31,267.14,551.93,48.98,109.09,0.0,0.09386594380159918,1
0.283,1.2838892722703001,0.043,0.15,79.52,201.66,184.46,126.06,3785.57,136.99,42.64,0.2012011875997805,1
0.254,3.1334821480111077,0.017,0.066,99.39,84.28,44.23,41.47,79.37,119.63,87.04,0.23112571356390074,1
0.183,3.6295339051202484,0.004,0.024,122.66,128.8,54.88,65.72,94.53,77.42,0.0,0.16907212826024998,1
0.271,2.420191657015444,0.02,0.072,85.72,80.4,80.37,63.86,118.74,93.82,0.0,0.19067188442015054,1
0.084,6.058891881956088,0.016,0.186,148.49,154.02,224.4,312.59,109.46,123.15,0.0,0.057872506740761304,1
0.298,1.8620538595953255,0.023,0.077,121.18,96.88,95.94,106.98,262.16,79.64,0.0,0.2734094954673758,1
0.107,1.469014965701417,0.015,0.141,37.17,24.2,240.28,76.71,101.98,105.99,1302.73,0.09130666424061554,1
0.089,3.9886106339096834,0.011,0.119,167.12,170.82,47.32,71.67,84.41,118.33,0.0,0.07392596572231323,1
0.545,0.6519962481583611,0.016,0.03,91.5,53.23,36.51,33.99,103.42,82.77,194.42,0.48458026715524904,1
0.426,1.197208947154337,0.066,0.155,96.1,66.76,1244.47,1011.28,29.65,154.64,0.0,0.35265330421343105,1
0.135,0.888989706080834,0.016,0.121,78.04,74.38,133.14,102.83,116.83,89.6,0.0,0.11784788976267672,1
0.307,0.4798444340521919,0.035,0.115,97.33,94.61,96.65,83.26,114.99,98.51,77.99,0.15684413662503913,1
0.109,9.5225592570028,0.009,0.086,219.88,251.96,176.71,364.32,116.82,110.79,0.0,0.09473570023315336,1
0.879,0.5972819175561911,-0.076,-0.087,97.38,109.29,410.5,427.63,86.0,74.41,0.0,0.8419296864288834,1
0.317,0.42519392184238514,0.01,0.031,106.13,67.25,92.05,94.49,149.04,118.68,0.0,0.29417210599458227,1
0.689,0.36306388101104853,0.039,0.056,124.77,273.7,32.34,38.12,2852.46,99.95,32.76,0.6309948742509512,1
0.677,0.8308287504335083,0.022,0.032,119.55,243.08,95.21,110.16,164.62,114.89,0.0,0.6319554885211242,1
0.16,2.025300865185772,0.004,0.025,120.74,126.29,72.86,85.76,118.74,86.43,0.0,0.14217745347564173,1
0.363,2.6127093130940597,0.176,0.486,140.68,104.85,19739.36,11646.86,72.47,92.77,0.0,0.1500021792987018,1
