1,2,3,4,5,6,7
0.049,0.04,25.252,0.0960938677329381,0.255,0.5302125931883153,1
0.085,0.034,29.727,0.5286663217745026,0.062,0.713434080157294,1
0.061,0.159,6.298,0.19921930968665247,0.388,0.7352342282256296,1
0.138,0.086,11.626,0.23016974829393003,1.914,0.8926146994961298,1
0.137,0.137,7.311,0.24891189434400338,2.115,0.6204589094205926,1
0.177,0.026,37.875,0.22054710922179196,1.062,0.9542954813266947,1
0.099,0.11,9.076,0.1738863107510687,0.265,0.5038260321059594,1
0.364,0.172,5.828,0.7356335268607859,1.325,0.9789313467797671,1
0.129,0.068,14.637,0.15000335926892588,2.237,0.5754000581435402,1
0.411,0.028,35.538,0.7034851800912483,0.994,0.6987180491672651,1
0.13,0.072,13.897,0.1836165861402257,1.15,0.8752391711065001,1
0.111,0.056,17.753,0.14621906519083824,0.816,0.585564525267381,1
0.401,0.163,6.145,0.8318277777110948,1.033,0.8973168679262508,1
0.114,0.042,23.908,0.15595314441100924,1.862,0.7135128265198248,1
0.303,0.103,9.715,0.5191526208517939,1.5,1.0000236043186839,1
0.136,0.083,12.048,0.21800491341974249,1.211,0.8874402936102291,1
0.101,0.124,8.057,0.2155507526009933,2.125,0.7727318823970802,1
0.303,0.064,15.628,0.37218305636188304,2.288,0.6955506313601172,1
0.144,0.081,12.409,0.2115123901146689,2.753,0.580033417948153,1
0.376,0.067,15.019,0.6064573776888224,1.252,0.8606986870132071,1
0.091,0.035,28.877,0.13198414061858788,1.473,0.6920584646629288,1
0.285,0.04,24.756,0.4290121424297867,0.805,0.5452351989170896,1
0.645,0.151,6.607,2.7988525180631942,0.238,1.0,1
0.407,0.11,9.078,0.8681633281737924,1.14,0.9386336766990807,1
0.121,0.126,7.96,0.2093657411633302,1.337,0.600823518560305,1
0.118,0.056,17.881,0.18213227402484286,3.103,0.500028577257742,1
0.238,0.1,10.027,0.3288504624353301,1.241,0.9855214869372844,1
0.259,0.095,10.548,0.36834266577270863,1.4,0.9350244516112222,1
0.326,0.133,7.532,0.5163954141779605,1.936,0.954457910461214,1
0.138,0.135,7.388,0.31074171443565957,4.216,0.6005068851603084,1
0.49,0.091,10.953,0.6225029305945968,3.228,0.9052966761058714,-1
0.335,0.133,7.5,0.4947376274694995,1.596,0.6886493578962386,1
0.13,0.012,85.064,0.1634476178236072,0.34,0.7177358364002375,1
0.257,0.119,8.433,0.4651877573917355,0.952,1.0,1
0.171,0.124,8.069,0.29533906973823404,1.167,0.8781671530598792,1
0.185,0.274,3.645,0.4785427000970634,1.177,0.9127469901738356,1
0.085,0.054,18.678,0.12255305746871088,0.549,0.6444537851126768,1
0.329,0.089,11.233,0.5120659394380767,1.162,0.8982806552107409,1
0.209,0.083,12.013,0.3623596754147811,0.253,0.9416599032913148,1
0.124,0.089,11.184,0.22557890331060731,0.395,0.7980471599704753,1
0.094,0.082,12.231,0.1948844668502807,0.285,0.7123853610454796,1
0.065,0.1,10.017,0.16694154992715865,0.622,0.9736652648253888,1
0.148,0.09,11.149,0.24127246349139353,1.55,0.6598207775648853,1
0.196,0.067,15.021,0.3489704785586782,1.099,0.8522715626884184,1
0.187,0.098,10.197,0.29801654671349553,1.242,0.8019147524913071,1
0.31,0.066,15.196,0.3793964773814143,5.861,0.5,1
0.158,0.085,11.8,0.2375371291702234,1.257,0.7274273545936517,1
0.103,0.003,357.556,0.052808480468674104,16.27,0.5,1
0.162,0.031,32.642,0.27143735470519637,2.768,0.846608905604001,1
0.14,0.08,12.494,0.5176716428280674,0.343,0.9280735395662923,1
0.08,0.134,7.478,0.20079581791058193,1.39,0.6159368017105933,1
0.795,0.258,3.877,5.880262028280445,1.197,0.9494434371525681,1
0.798,0.06,16.555,4.190172491727567,0.794,0.887131194046278,1
0.132,0.077,12.911,0.2485022579903677,1.122,0.9250416934066832,1
0.123,0.058,17.187,0.1952808476686846,0.317,0.6746568407427564,1
0.132,0.125,7.98,0.24466855524936992,1.379,0.7836151486137077,1
0.283,0.313,3.198,0.6428442048540458,1.579,0.7143616258759529,1
0.254,0.03,33.451,0.3786045871296008,1.172,1.0,1
0.183,0.277,3.606,0.5027405696031626,1.122,1.0,1
0.271,0.135,7.42,0.40480515505588,1.671,0.8040238795562038,1
0.084,0.081,12.372,0.14735950803421474,1.148,0.7050476714288181,1
0.298,0.049,20.579,0.45807997103752734,1.099,0.824283582383177,1
0.107,0.043,23.327,0.18606591162699632,1.215,0.7999244414543144,1
0.089,0.143,7.014,0.227468868941795,1.108,0.873065236149924,1
0.545,0.194,5.157,1.5064723916771057,1.293,1.0,1
0.426,0.029,34.511,1.0401755043931797,1.207,0.82623815955274,1
0.135,0.039,25.972,0.18459889600326818,1.226,0.9783700239594975,1
0.307,0.047,21.289,0.2839923619172317,2.027,0.5145030396380501,1
0.109,0.138,7.234,0.245259422442879,1.148,0.888949248379607,1
0.879,0.093,10.705,7.405495955220178,0.914,1.0,1
0.317,0.036,28.153,0.4971745304271519,1.11,0.8909689637257019,1
0.689,0.052,19.334,2.4327557223895626,1.273,0.9215446414290493,1
0.677,0.655,1.527,5.536668366649863,1.086,0.9395197914018538,1
0.16,0.208,4.808,0.3901279248583583,1.057,1.0,1
0.363,0.267,3.743,0.5247496689743195,1.69,0.5,1
