1,2,3,4,5,6,7
0.041,0.023,43.277,0.08185783015909516,0.22,0.6986952829822375,1
0.093,0.055,18.234,0.39511761253312455,0.054,0.7686968312476296,1
0.082,0.072,13.975,0.1315011765451987,0.444,0.6916643482976612,1
0.076,0.074,13.545,0.15124341202392055,1.594,0.7638661196410181,1
0.113,0.14,7.121,0.23818461613941183,2.095,0.6598594793368402,1
0.157,0.066,15.215,0.22614341259905135,1.088,0.9634124093151571,1
0.095,0.081,12.324,0.15956832740148003,0.261,0.5004289123235277,1
0.306,0.113,8.866,0.5318984129131055,1.351,0.959647342411562,1
0.12,0.056,17.973,0.14642732511676465,1.799,0.7023347410879962,1
0.395,0.027,37.73,0.6142879693480022,1.01,0.7817920215544176,1
0.119,0.044,22.649,0.15099934523017097,1.388,0.9527326516251017,1
0.084,0.053,18.777,0.11538363319223599,0.965,0.5478532906143797,1
0.292,0.144,6.961,0.5371888623863308,1.033,0.8685559647916964,1
0.117,0.043,23.095,0.15574031885276365,1.629,0.6891652095724684,1
0.275,0.106,9.417,0.47098329944290124,1.478,1.0,1
0.101,0.058,17.307,0.15494581824776613,1.361,0.9014893048143531,1
0.084,0.06,16.584,0.13421961211321182,1.917,0.752589824417837,1
0.248,0.053,18.719,0.3096568643355159,1.973,0.7834319674996562,1
0.12,0.06,16.583,0.1797418482283617,2.031,0.7245803951191637,1
0.309,0.093,10.72,0.49657879722266796,1.212,0.9028422548074563,1
0.083,0.051,19.451,0.1507671688888813,1.268,0.7088231572817775,1
0.173,0.067,15.002,0.23133292016362983,0.957,0.5,1
0.546,0.074,13.546,1.2004611279277233,0.171,1.0,1
0.302,0.048,20.894,0.5062287385479816,1.151,0.9372854872971703,1
0.108,0.105,9.518,0.21581571108400546,1.596,0.861852082684438,1
0.118,0.025,39.831,0.16720767799131447,3.12,0.512940036402417,1
0.224,0.084,11.916,0.3096510812592157,1.244,0.9863771597055998,1
0.191,0.053,18.927,0.26781161730320513,1.242,0.8512395649323606,1
0.223,0.067,14.881,0.28522190962460764,1.755,0.9567646502248394,1
0.117,0.057,17.528,0.17749748218889852,4.989,0.5000731475021999,1
0.321,0.06,16.661,0.498507205058134,1.193,0.913406295072526,1
0.161,0.017,57.915,0.1854870868754045,0.307,0.6760083064977525,-1
0.271,0.071,14.055,0.4715924292935922,0.827,1.0,1
0.093,0.072,13.873,0.1458171873394984,1.346,0.7488831327851975,1
0.173,0.193,5.171,0.3386251228103657,1.839,0.6581134526945659,1
0.071,0.036,27.559,0.10008555449421334,0.705,0.6848474841781304,1
0.244,0.033,30.264,0.3468475249094648,1.031,0.8644014260506598,1
0.157,0.056,17.821,0.25354644889525507,0.258,0.9822625730710877,1
0.089,0.011,88.161,0.10412071312852217,0.408,0.9210180138153263,1
0.086,0.082,12.148,0.18321132768917794,0.337,0.8477107570801706,1
0.057,0.057,17.452,0.12339311093659797,0.643,0.9896839582303085,1
0.105,0.179,5.578,0.27347509017790406,1.69,0.6120230095442077,1
0.173,0.087,11.525,0.30136284953501047,1.215,0.8802639801145408,1
0.196,0.094,10.63,0.3346091878760185,1.068,0.8731953986490157,1
0.325,0.033,30.503,0.4027713686624394,5.407,0.5,1
0.152,0.072,13.909,0.232000638950127,1.547,0.820458218793636,1
0.09,0.0,23473.161,0.06426108144110622,12.56,0.5,1
0.136,0.047,21.14,0.25287520398629854,2.41,0.8741605238339855,1
0.146,0.098,10.248,0.5346109545350449,0.391,0.8791798030016351,1
0.062,0.091,11.032,0.14768645417770893,1.296,0.7452465325434352,1
0.624,0.184,5.422,2.0108010187230807,1.224,0.9636237889850474,1
0.382,0.028,35.59,0.6417633662039999,0.707,0.7306815103427438,1
0.129,0.058,17.11,0.21715271538707928,1.197,0.9163296574176932,1
0.14,0.054,18.62,0.17199992173033427,0.318,1.0,1
0.117,0.169,5.909,0.27202122893468705,1.28,0.8262154649730081,1
0.437,0.013,76.819,0.6690803046121432,1.669,0.683176408021232,1
0.215,0.062,16.136,0.33314501476379926,1.227,0.9912760199915762,1
0.118,0.223,4.482,0.3396452677470202,1.171,0.8737907121466001,1
0.171,0.14,7.159,0.2960182253891848,1.607,0.8478362629564482,1
0.091,0.058,17.19,0.1458560209805208,1.686,0.7506463688395058,1
0.196,0.019,51.619,0.24003584539773212,1.098,0.8387049542521315,1
0.103,0.089,11.213,0.2509591785419691,1.064,0.9681114039658393,1
0.048,0.086,11.665,0.1308140032506173,1.119,0.7885565607293303,1
0.392,0.114,8.792,0.7633498373975136,1.361,0.9589985196911315,1
0.454,0.063,15.99,1.3394403822479812,1.146,0.9493877132000378,1
0.087,0.018,55.191,0.10885082855600954,1.229,0.9215714005558542,1
0.189,0.05,20.105,0.17046094393616537,2.136,0.5,1
0.048,0.044,22.934,0.08797498535211057,1.134,0.8025657904519532,1
0.829,0.15,6.657,5.020024232928106,0.891,1.0,1
0.124,0.003,288.367,0.13335924461868842,1.221,0.8455772787764357,1
0.689,0.007,135.953,2.3825932671931467,1.282,0.9398049895972782,1
0.655,0.853,1.172,4.372749179916601,1.096,0.9721618682955625,1
0.099,0.108,9.261,0.20855513010137,1.11,1.0,1
0.11,0.089,11.203,0.20038008587855877,0.852,0.8314923834796761,1
