1,2,3,4,5,6,7
202921853.0,9865822.5,1002107.0,75339449.2,131384982.4,5202973.7,1
36931741.8,3155081.0,270256.5,117467.2,3940710.0,132561.1,1
314295589.0,19194681.7,276888.5,198808732.5,231291987.3,36723642.4,1
3608932.4,497586.8,96542.7,2860616.6,2955872.3,254252.8,1
95158659.9,13015807.8,4748714.1,66615718.6,79202452.0,10832776.1,1
1364443.7,241800.7,8518.3,1069998.5,1117557.2,29506.1,1
552058120.2,54528931.4,32609220.1,231386431.9,259577011.7,28601098.3,1
728013.2,264966.9,3364.5,374764.6,395396.1,67844.9,1
19977706.3,2579023.2,458035.5,14677112.8,16623911.7,1135780.5,1
483218.5,198833.9,13049.7,105975.3,221396.1,6229.9,1
19867892.7,2586285.5,538069.7,13725490.5,16549491.7,1190893.2,1
3231086.7,357552.1,19054.1,2144907.2,2838207.1,159868.6,1
515248.2,206643.6,697.1,268073.9,299926.8,48804.6,1
8219234.3,934933.3,268713.7,5167804.0,5529175.4,231269.7,1
4237166.6,1285149.7,24455.6,2525723.0,2665787.9,274396.0,1
5662695.2,768695.0,62237.2,4509627.3,4811836.0,399375.3,1
28195214.2,2845145.2,302932.8,19601164.6,23843736.8,2959496.5,1
2633544.9,797762.3,122529.6,1665670.7,1742640.5,111509.5,1
63160034.7,9069211.1,2623019.1,42553686.8,46334039.3,3733897.5,1
1544329.1,581128.0,60074.9,891362.7,915214.8,60937.8,1
10059191.9,913205.0,28053.5,6772432.1,8449551.5,292602.9,1
564837.9,161036.4,-27542.5,270807.3,385927.7,15589.5,1
553476.8,356833.0,9979.4,105507.7,114985.2,17404.6,1
1103280.4,448948.1,3181.7,543419.2,589135.1,64897.7,1
56023116.4,6778912.7,2580448.1,44832447.6,46996844.8,5903948.8,1
7879807.4,926968.7,378128.8,4125073.9,4478685.9,250473.7,1
1304074.1,310357.5,-17982.4,918643.7,936660.7,93415.5,1
1081680.6,279990.7,1038.0,703935.4,757828.3,71843.6,1
5804986.5,1895036.7,-121501.7,3624815.1,3878672.1,514950.2,1
37243986.7,5155865.6,1729931.1,28284331.4,30156905.4,4081646.0,1
2110041.9,1034277.6,7548.6,858487.8,1059914.6,96768.7,-1
954831.6,320263.2,44309.3,592374.8,608488.7,81131.3,1
1858625.4,242124.1,-110.3,1005654.5,1316902.9,15481.4,-1
1081987.4,277911.9,9202.5,633295.9,659209.2,78169.8,1
1475726.9,251684.4,24409.7,1173712.4,1207066.7,149586.9,1
1269804.7,235338.1,5197.4,663353.1,980596.6,269059.5,1
20103053.9,1703060.7,533015.4,14339420.3,16093294.7,861617.1,1
799637.3,263103.4,20090.1,517294.4,534421.6,47574.0,1
3052804.3,639362.3,30797.2,1983932.2,2346810.5,195349.2,1
11394975.3,1415142.6,309902.9,7159524.2,7404218.6,662055.9,1
87586005.5,8196347.6,1591155.9,59281063.2,63394117.6,5182901.7,1
127563582.9,8281152.4,1299299.9,103552430.3,110944745.4,11075976.8,1
2098830.5,309951.1,41182.9,1500116.1,1553380.3,139325.1,1
2868925.0,561131.1,34741.3,1581588.1,1620839.9,107905.6,1
1892599.7,354304.0,60124.9,1308284.0,1487372.1,145868.7,1
13838802.2,4285916.6,709956.8,6943126.1,8936213.0,588049.4,1
49297258.1,7774475.4,2536756.1,35179411.1,37114957.1,3145451.0,1
31457058.2,3254047.6,2214995.9,27667997.4,28147763.9,78722.7,1
24321817.1,3942032.3,696225.2,14629316.8,19937017.2,610783.0,1
59078437.6,8242760.6,271976.7,7174652.0,19405439.7,1553150.1,1
11049720.2,888309.1,165477.6,8891818.9,9916815.7,1326081.3,1
301212.9,239465.5,3873.3,35982.7,45098.3,11631.9,1
242689.2,193656.3,-4408.9,9135.5,46812.1,2827.7,1
4249225.5,561089.7,24353.5,3085379.6,3258069.7,252357.2,1
2980905.3,365263.1,124619.6,1677613.7,1820935.5,105947.1,1
2092995.5,275870.2,53234.6,1550386.8,1763781.2,221022.3,1
1407839.6,398638.9,59898.9,655309.2,951832.8,297631.3,1
1682666.4,426977.8,28232.0,736965.1,1238903.3,37036.6,1
1224189.1,224463.4,5301.6,889016.3,930265.2,257971.7,1
1233194.2,334191.5,24105.5,880729.7,893361.8,120404.1,1
4121863.8,344461.3,63907.1,3357044.8,3605604.4,291427.5,1
1141325.6,340641.9,26063.6,455115.6,782944.2,38046.5,1
3775683.0,405484.6,57179.4,2106537.4,2498032.1,107087.2,1
3075423.4,274426.7,32541.2,2597903.1,2721499.2,388000.6,1
956290.4,521205.6,15619.1,191449.8,407771.6,79073.4,1
595583.5,253549.0,39290.6,212655.6,227967.0,6605.6,1
2748887.5,370041.9,44691.6,2325824.5,2378313.2,91572.4,1
1980468.6,608042.9,69855.2,1083274.5,1371537.9,64425.3,1
2114917.0,229735.1,19757.5,1837106.1,1879661.7,259838.7,1
241278.6,212158.4,-18435.4,19874.2,27816.1,2598.3,1
1050653.7,333164.1,10224.7,394669.8,691367.7,24557.1,1
381784.2,263066.1,14829.8,100052.3,118620.9,6135.5,1
320863.3,217238.5,6945.6,26482.4,42451.4,27809.3,1
1743312.6,279684.2,7013.0,1332968.2,1396445.4,290422.8,1
1397431.2,507046.5,246343.5,767480.4,850402.3,227185.4,1
